%problem #, theta(deg), phi(deg), A, B, C, mu, a, source
1, 40.9434304063, 69.3705425093, 17.1032782645, 24.6464196126, 0.433514434895, 2.4000613714, 0.135395945249, 4.37427871702e-14
0, 41.0351293065, 4.30987648139, 396.072236269, 481.357824862, 0.33535077594, 0.92821778742, 1.18051794996, 0.0
1, 16.0614686659, 16.9735422757, 0.120788815293, 5.72703497235, 0.963315783701, 0.632501976261, 6.67425175663, 7.03430369509e-15
4, 81.1036838689, 73.6216374022, 0.00917341116976, 7.78497905966, 0.124093280588, 0.0169352576754, 0.0382001195797, -1.72587939322e-15
6, 50.9541936564, 17.3376590388, 111.441843265, 303.851268319, 0.237225062923, 1.34457744955, 0.355794495853, 8.881784197e-14
7, 11.3953687709, 49.855645732, 647.357176484, 4.5144140747, 0.717304077885, 2.3248667999, 0.106770714612, -1.97886151909e-12
2, 53.1337112224, 47.5361310047, 0.114712217667, 133.361334877, 0.362998858083, 1.45069166426, 1.11174829676, 0.0
6, 80.141125895, 58.6356059395, 0.0327489587658, 121.404573994, 0.909296786091, 2.14423091942, 1.16904608581, 2.41993924899e-15
4, 44.4133733299, 52.4416060215, 0.00764067872373, 11.3724518902, 0.861341061642, 0.494113751976, 1.03635398928, -1.83663848019e-16
5, 10.8902867481, 4.56482924809, 3.73405925025, 0.020648085261, 0.309858646426, 1.86352017261, 0.401164119973, 3.92602617083e-14
5, 51.1392085414, 30.0366656558, 0.00118895019776, 0.00483258554816, 0.192828348443, 1.5758496326, 0.759320687915, -3.5344990823e-17
1, 35.0860530528, 84.2775111598, 0.253312636868, 19.0219155635, 0.618484385175, 1.97920282878, 0.0806944877325, 9.12638020711e-15
4, 63.0750903492, 14.5014348212, 62.0187725858, 172.686016613, 0.0471006333497, 0.594365938024, 0.00988957981686, 4.13419298795e-14
0, 12.5981306959, 57.7291384199, 0.00547091120515, 0.00251653264502, 0.945831721524, 1.20606489562, 0.145249794621, 0.0
3, 30.9298709228, 40.8796150023, 0.0146290246045, 3.0089955646, 0.251218374206, 0.435992311532, 0.00683477015752, -3.28938807616e-15
3, 83.7315756081, 53.8089210854, 766.650257878, 0.25392921509, 0.260473168207, 2.13201872472, 0.00577984943225, 9.7699626167e-15
7, 35.1487940989, 24.4266414661, 0.0424270713679, 0.0671116250887, 0.936708845393, 2.97654349706, 0.171264206834, 1.04083408559e-17
1, 0.876638880608, 7.19976462253, 0.0613591874902, 7.18863677708, 0.626361273401, 2.55999400661, 1.92400514479, 1.1882624994e-15
2, 60.6436447068, 39.9897127079, 23.4017861187, 0.0127533400977, 0.976514012245, 0.0685121273922, 0.29549618195, 2.60208521397e-16
2, 72.0674127329, 12.9285224848, 221.556059439, 0.00104548690186, 0.735209539634, 2.11039556533, 0.107001567113, -6.87817858225e-16
1, 34.3937400397, 40.1987635164, 0.0188567084661, 0.0092450396429, 0.842446316604, 1.64879751036, 0.0121108913617, -3.66595859572e-18
5, 56.9660262551, 12.2456376208, 3.21815414707, 3.20871121246, 0.111045104649, 0.902389037439, 2.83640634577, 5.86197757002e-14
4, 20.0777359623, 35.4173615748, 0.562811408575, 17.7664661189, 0.860743805523, 0.262328223946, 0.00153691207155, 1.39623555773e-15
3, 1.79882117313, 13.8881265615, 0.00433840762035, 0.00339680000374, 0.625315589256, 0.286408481487, 0.184774116819, -7.13466439384e-19
7, 12.6421113818, 68.3078770333, 3.20047679588, 0.0105005977104, 0.949848393784, 2.2101048134, 0.0329374403029, -3.53883589099e-16
7, 9.3722851434, 75.0346815109, 113.425966558, 0.00496619118492, 0.915364964953, 2.3520738439, 4.5550335147, 1.99346095187e-12
2, 66.4558574497, 70.1724591374, 0.122964887206, 0.00162242545585, 0.0141957046451, 1.51982876911, 0.155608000631, 0.0
1, 56.785181088, 4.68997639689, 0.738713395435, 1.15807952246, 0.203538011703, 0.142545550062, 4.09370043228, 1.30451205393e-14
6, 52.931405552, 2.64218952091, 1.41904263465, 599.665929682, 0.767044135234, 2.06555593425, 0.00143989322911, -1.5225841421e-13
4, 20.9406129395, 88.7864618192, 0.00116323666166, 0.0217007621236, 0.879966447659, 0.360307878866, 0.0158571591914, -5.22534625161e-18
2, 79.3479937169, 62.6603671863, 401.432013403, 0.0141898705254, 0.0882681843386, 1.02976630472, 1.16013202188, 7.28063442867e-15
4, 84.1605970806, 64.1577975313, 0.00310024285887, 0.0777279278431, 0.203712018687, 0.803135078083, 0.463584054713, 6.61363325216e-18
3, 68.0922591794, 1.4339419336, 283.524402612, 0.00941146392988, 0.742657375333, 2.53312552698, 0.00147462670112, -5.54298360683e-16
4, 87.7540900673, 0.658293273167, 0.961707763661, 0.356245736891, 0.38150735315, 0.583189608959, 0.00526617126266, -8.93328380019e-16
2, 19.5765081477, 26.4532947244, 257.625429685, 494.403631187, 0.259817014142, 0.0825703679158, 0.0116011638586, -5.68434188608e-14
6, 15.8434372002, 59.5788194793, 0.00360642065779, 0.13016278991, 0.169509163406, 1.84931604875, 0.030271586282, 3.85704922862e-17
6, 46.636667337, 36.3392067358, 0.00134569804529, 107.579193156, 0.039064573234, 1.49673759781, 8.94085460329, -2.05141350955e-14
